ZachsReport,,,,,
,,,,,
Date/Time Generated,11/15/2017 13:32,,,,
Report Time Zone,America/New_York,,,,
Account ID,9497,,,,
Date Range,9/3/17 - 10/31/17,,,,
Campaign,Equals:TJN_STP_029_STP 2H DIG_FY18 (20280430),,,,
MRC Accredited Metrics,"Impressions(Desktop Display and Rich Media, Desktop Video, Mobile Video)",,,,
,,,,,
Report Fields,,,,,
Site (DCM),Package/Roadblock,Placement,Date,Impressions,Clicks
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/3/2017,10413,8
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/4/2017,6174,6
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/5/2017,5076,7
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/6/2017,5287,6
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/7/2017,4334,14
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/8/2017,4570,14
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/9/2017,4965,4
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/10/2017,4878,8
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/11/2017,4022,5
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/12/2017,4072,7
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/13/2017,4181,6
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/14/2017,3554,9
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/15/2017,3839,11
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/16/2017,3854,0
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/17/2017,3917,7
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/18/2017,3988,6
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/19/2017,4135,5
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/20/2017,4123,3
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/21/2017,3360,9
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/22/2017,3558,8
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/23/2017,3736,6
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/24/2017,3751,5
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/25/2017,3607,0
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/26/2017,3658,2
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/27/2017,3782,3
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/28/2017,3250,3
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/29/2017,3328,3
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/30/2017,3363,5
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYGZN_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Colorado, Colorado Springs - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/31/2017,2988,3
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",9/22/2017,1814,5
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",9/23/2017,7348,13
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",9/24/2017,6951,17
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",9/25/2017,7182,7
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",9/26/2017,7227,13
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",9/27/2017,4967,11
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",9/28/2017,1232,2
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",9/29/2017,1271,0
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",9/30/2017,1056,0
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/1/2017,22,0
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/2/2017,5086,6
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/3/2017,6677,12
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/4/2017,3865,6
Pandora,PJYDDF_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_PKG_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - STP CUSTOM BUNDLE - AUDIO_Run of Site_Behavioral_P25-54_Click and View_NV_NA,"PJYH44_TJN_STP_033_Audience_PANDORA.COM_DST_SV1_MAP_DIR_AUD_TRG_ROS_CTG_BTG_DCM_MOBILE AUDIO: W25-54 - TJX CUSTOM BUNDLE- COMPANION BANNER - Connecticut, Danbury - ActiveAthleisure_Run of Site_Behavioral_P25-54_300 x 250_Standard_NV_NA",10/5/2017,2580,10
