"Campaign Name","Media Property","Placement Name","Ad Server Placement Code","Date","GroupM Active Impressions","GroupM Fraud/SIVT Impressions","GroupM Non-Fraud/SIVT Impressions","GroupM Ineligible Impressions","GroupM Eligible Impressions","GroupM Unmeasured Impressions","GroupM Measured Impressions","GroupM Passed Impressions","GroupM Failed Impressions","GroupM Unevaluated Impressions","GroupM Projected Impressions","GroupM Billable Impressions"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK0SC0_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_DSK_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL DESKTOP_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205698712","10/19/2017","5011.00","2288.00","2723.00","1504.00","1219.00","17.00","1202.00","1028.00","174.00","1521.00","1301.00","2329.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK0SGD_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_DSK_DIR_VID_TRG_RON_BTG_CTG_DVY_ALL SCREEN PREROLL + SOCIAL AFFINITY TARGETING TO W25-54 MARSHALL ENTHUSIASTS DESKTOP_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205698706","10/19/2017","14.00","0.00","14.00","0.00","14.00","0.00","14.00","4.00","10.00","0.00","0.00","4.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK2HH2_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_CTV_DIR_VID_TRG_RON_PXT_CTG_DVY_ALL SCREEN PREROLL + PROXIMITYPLUS DWELL TIME TARGETING TO MARSHALLS VISITORS CTV_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205649204","10/06/2017","4400.00","0.00","4400.00","4400.00","0.00","0.00","0.00","0.00","0.00","4400.00","3108.00","3108.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK317N_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_TWB_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL TABLET_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205649360","10/21/2017","4898.00","122.00","4776.00","4422.00","354.00","10.00","344.00","0.00","344.00","4432.00","0.00","0.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK3178_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_MWB_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL MOBILE_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205649207","09/26/2017","10.00","0.00","10.00","1.00","9.00","0.00","9.00","1.00","8.00","1.00","0.00","1.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK2HH2_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_CTV_DIR_VID_TRG_RON_PXT_CTG_DVY_ALL SCREEN PREROLL + PROXIMITYPLUS DWELL TIME TARGETING TO MARSHALLS VISITORS CTV_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205649204","10/11/2017","4325.00","0.00","4325.00","4325.00","0.00","0.00","0.00","0.00","0.00","4325.00","2777.00","2777.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK30PK_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_TWB_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_AFFINITY/BUZZ WORTHY_CROSS DEVICE_PREROLL TABLET_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205697638","09/30/2017","19938.00","545.00","19393.00","19209.00","184.00","23.00","161.00","54.00","107.00","19232.00","6450.00","6504.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK0SGD_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_DSK_DIR_VID_TRG_RON_BTG_CTG_DVY_ALL SCREEN PREROLL + SOCIAL AFFINITY TARGETING TO W25-54 MARSHALL ENTHUSIASTS DESKTOP_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205698706","10/01/2017","21435.00","2.00","21433.00","294.00","21139.00","65.00","21074.00","18912.00","2162.00","359.00","322.00","19234.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK0SC0_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_DSK_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL DESKTOP_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205698712","10/01/2017","15430.00","5356.00","10074.00","3682.00","6392.00","157.00","6235.00","3599.00","2636.00","3839.00","2216.00","5815.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK3178_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_MWB_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL MOBILE_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205649207","10/03/2017","6704.00","221.00","6483.00","6402.00","81.00","3.00","78.00","9.00","69.00","6405.00","739.00","748.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK0SGD_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_DSK_DIR_VID_TRG_RON_BTG_CTG_DVY_ALL SCREEN PREROLL + SOCIAL AFFINITY TARGETING TO W25-54 MARSHALL ENTHUSIASTS DESKTOP_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205698706","10/02/2017","40896.00","1.00","40895.00","587.00","40308.00","114.00","40194.00","35836.00","4358.00","701.00","625.00","36461.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK0SC0_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_DSK_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL DESKTOP_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205698712","10/02/2017","13171.00","2217.00","10954.00","3641.00","7313.00","170.00","7143.00","5435.00","1708.00","3811.00","2900.00","8335.00"
